Discrete Queue Name,ProducerName,ConsumerName,Primary App_Full_Name,PrimaryAppDisp,PrimaryAppRole,Primary Application Id,q_type,Primary Neighborhood,Primary Hosting Type,Primary Data classification,Primary Enterprise Critical Payment Application,Primary PCI,Primary Publicly Accessible,Primary TRTC,queue_manager_name,app_id,line_of_business,cluster_name,cluster_namelist,def_persistence,def_put_response,inhibit_get,inhibit_put,remote_q_mgr_name,remote_q_name,usage,xmit_q_name,Neighborhood
9B.RRRX.CMD,Canopus Trade Capture,Aldebaran Rate Engine,Canopus Trade Capture,Public Cloud,Producer,9B,Remote,Public Cloud,Internal,Confidential,Yes,No,No,00= 0-30 Minutes,WL6EX2C,9B,TECHFIN,TECHPAY,TECHPAY,No,Asynchronous,0,0,WL6E28,9B.RRRX.CMD.WL6E,0,9B.WL6E28,Public Cloud
9B.RRRX.CMD,Canopus Trade Capture,Aldebaran Rate Engine,Aldebaran Rate Engine,Private IaaS,Consumer,RRRX,Remote,Public Cloud,Internal,Restricted,No,No,No,00= 0-30 Minutes,WL6E28,RRRX,TECHOPS,TECHPAY,TECHPAY,No,Asynchronous,0,Enabled,WL6E28,9B.RRRX.CMD.WL6E,Normal,9B.WL6E28,Public Cloud
QQNP.9ADV.CMD,Polaris Config Manager,Regulus Position Keeper,Polaris Config Manager,Private PaaS,Producer,QQNP,Remote,Private IaaS,External,Public,Yes,No,No,01= 30 Minutes to 2 Hours,WL6EX2A,QQNP,TECHOPS,TECHCCIBT,TECHCCIBT,No,Synchronous,Enabled,0,WL6EX2B,QQNP.9ADV.CMD.WL6E,Normal,QQNP.WL6EX2B,Private IaaS
QQNP.9ADV.CMD,Polaris Config Manager,Regulus Position Keeper,Regulus Position Keeper,"Private IaaS, Private PaaS",Consumer,9ADV,Remote,Private IaaS,Internal,Public,No,No,Yes,00= 0-30 Minutes,WL6EX2B,9ADV,TECHRISK,TECHCCIBT,TECHCCIBT,No,Synchronous,Enabled,Enabled,WL6EX2B,QQNP.9ADV.CMD.WL6E,0,QQNP.WL6EX2B,Private IaaS
9A.8BNP.CTRL,Betelgeuse Event Streamer,Sirius Notification Hub,Betelgeuse Event Streamer,Private IaaS,Producer,9A,Remote,Private IaaS,Internal,Public,No,No,No,01= 30 Minutes to 2 Hours,WL6F27,9A,TECHRISK,TECHFIN,TECHFIN,Yes,Asynchronous,0,0,WSR2D,9A.8BNP.CTRL.WSR2,0,9A.WSR2D,Private IaaS
9A.8BNP.CTRL,Betelgeuse Event Streamer,Sirius Notification Hub,Sirius Notification Hub,"Private IaaS, Private PaaS",Consumer,8BNP,Remote,Mainframe,Internal,Restricted,No,Yes,No,01= 30 Minutes to 2 Hours,WSR2D,8BNP,TECHCCIBT,TECHFIN,TECHFIN,Yes,Asynchronous,0,Enabled,WSR2D,9A.8BNP.CTRL.WSR2,Normal,9A.WSR2D,Mainframe
9ADV.9BFK.ERR,Regulus Position Keeper,Achernar Limit Monitor,Regulus Position Keeper,"Private IaaS, Private PaaS",Producer,9ADV,Remote,Private IaaS,Internal,Public,No,No,Yes,00= 0-30 Minutes,WL6EX2B,9ADV,TECHRISK,TECHCCIBT,TECHCCIBT,No,Synchronous,Enabled,0,WL6E26,9ADV.9BFK.ERR.WL6E,0,9ADV.WL6E26,Private IaaS
9ADV.9BFK.ERR,Regulus Position Keeper,Achernar Limit Monitor,Achernar Limit Monitor,"Full App Retire, Mainframe",Consumer,9BFK,Remote,Private PaaS,External,Internal Use,Yes,No,No,00= 0-30 Minutes,WL6E26,9BFK,TECHFIN,TECHCCIBT,TECHCCIBT,No,Synchronous,Enabled,Enabled,WL6E26,9ADV.9BFK.ERR.WL6E,Normal,9ADV.WL6E26,Private PaaS
8CNP.8C.ACK,Arcturus Cache Service,Vega Authentication Service,Arcturus Cache Service,Public Cloud,Producer,8CNP,Remote,Mainframe,Internal,Confidential,Yes,No,No,04= 12 to 24 Hours,WL6GR2C,8CNP,TECHSEC,TECHPAY,TECHPAY,No,Synchronous,Enabled,0,WL6FR2D,8CNP.8C.ACK.WL6F,0,8CNP.WL6FR2D,Mainframe
8CNP.8C.ACK,Arcturus Cache Service,Vega Authentication Service,Vega Authentication Service,"Full App Retire, Mainframe",Consumer,8C,Remote,Public Cloud,Internal,Restricted,No,No,No,01= 30 Minutes to 2 Hours,WL6FR2D,8C,TECHCT,TECHPAY,TECHPAY,No,Synchronous,0,Enabled,WL6FR2D,8CNP.8C.ACK.WL6F,Normal,8CNP.WL6FR2D,Public Cloud
CDNP.YZNP.CTRL,Vega Authentication Service,DFCeth - HUVY MIPKNVL ZYU,Vega Authentication Service,Private PaaS,Producer,CDNP,Remote,Public Cloud,Internal,Internal Use,No,No,No,02= 2 Hours to 4 Hours,WRX2B,CDNP,TECHRISK,TECHCORE,TECHCORE,Yes,Asynchronous,0,Enabled,WRR2F,CDNP.YZNP.CTRL.WRR2,Normal,CDNP.WRR2F,Public Cloud
CDNP.YZNP.CTRL,Vega Authentication Service,DFCeth - HUVY MIPKNVL ZYU,DFCeth - HUVY MIPKNVL ZYU,"Private IaaS, Private PaaS",Consumer,YZNP,Remote,Public Cloud,Internal,Confidential,No,No,No,04= 12 to 24 Hours,WRR2F,YZNP,TECHCT,TECHCORE,TECHCORE,Yes,Asynchronous,0,0,WRR2F,CDNP.YZNP.CTRL.WRR2,0,CDNP.WRR2F,Public Cloud
SSFK.8BFK.ALERT,Fomalhaut Market Data,Jupiter Order Management,Fomalhaut Market Data,"Private IaaS, Private PaaS",Producer,SSFK,Remote,Mainframe,Internal,Internal Use,No,Yes,No,01= 30 Minutes to 2 Hours,WL6E27,SSFK,TECHCCIBT,TECHPAY,TECHPAY,Yes,Asynchronous,Enabled,Enabled,WSR2C,SSFK.8BFK.ALERT.WSR2,Normal,SSFK.WSR2C,Mainframe
SSFK.8BFK.ALERT,Fomalhaut Market Data,Jupiter Order Management,Jupiter Order Management,Private PaaS,Consumer,8BFK,Remote,Private IaaS,External,Public,No,No,No,00= 0-30 Minutes,WSR2C,8BFK,TECHCCIBT,TECHPAY,TECHPAY,Yes,Asynchronous,0,0,WSR2C,SSFK.8BFK.ALERT.WSR2,Normal,SSFK.WSR2C,Private IaaS
WXDV.GH.RPT,Procyon API Gateway,Procyon API Gateway,Procyon API Gateway,"Private IaaS, Private PaaS",Producer,WXDV,Remote,Public Cloud,External,Restricted,No,Yes,No,00= 0-30 Minutes,WRX2D,WXDV,TECHOPS,TECHCORE,TECHCORE,No,Asynchronous,Enabled,0,WL6EX2C,WXDV.GH.RPT.WL6E,Normal,WXDV.WL6EX2C,Public Cloud
WXDV.GH.RPT,Procyon API Gateway,Procyon API Gateway,Procyon API Gateway,Mainframe,Consumer,GH,Remote,Public Cloud,Internal,Internal Use,No,No,No,02= 2 Hours to 4 Hours,WL6EX2C,GH,TECHCT,TECHCORE,TECHCORE,No,Asynchronous,0,0,WL6EX2C,WXDV.GH.RPT.WL6E,Normal,WXDV.WL6EX2C,Public Cloud
SSSM.RR.RPT,Canopus Trade Capture,Capella Audit Logger,Canopus Trade Capture,Private PaaS,Producer,SSSM,Remote,Public Cloud,Internal,Internal Use,No,No,No,01= 30 Minutes to 2 Hours,WL6E30,SSSM,TECHSEC,TECHFIN,TECHFIN,Yes,Asynchronous,0,0,WRR2F,SSSM.RR.RPT.WRR2,0,SSSM.WRR2F,Public Cloud
SSSM.RR.RPT,Canopus Trade Capture,Capella Audit Logger,Capella Audit Logger,"Private IaaS, Private PaaS",Consumer,RR,Remote,Private PaaS,Internal,Confidential,No,No,No,04= 12 to 24 Hours,WRR2F,RR,TECHOPS,TECHFIN,TECHFIN,Yes,Asynchronous,Enabled,Enabled,WRR2F,SSSM.RR.RPT.WRR2,0,SSSM.WRR2F,Private PaaS
YZDV.ABFK.SYNC,Achernar Limit Monitor,PP Arcne VMU,Achernar Limit Monitor,Public Cloud,Producer,YZDV,Remote,Public Cloud,Internal,Internal Use,No,No,No,02= 2 Hours to 4 Hours,WRR2D,YZDV,TECHOPS,TECHOPS,TECHOPS,No,Asynchronous,0,Enabled,WR29,YZDV.ABFK.SYNC.WR29,0,YZDV.WR29,Public Cloud
YZDV.ABFK.SYNC,Achernar Limit Monitor,PP Arcne VMU,PP Arcne VMU,Public Cloud,Consumer,ABFK,Remote,Private IaaS,External,Restricted,No,No,No,03= 4:01 to 11:59 Hours,WR29,ABFK,TECHSEC,TECHOPS,TECHOPS,No,Asynchronous,0,Enabled,WR29,YZDV.ABFK.SYNC.WR29,Normal,YZDV.WR29,Private IaaS
SSFK.9A.ERR,Fomalhaut Market Data,Betelgeuse Event Streamer,Fomalhaut Market Data,"Private IaaS, Private PaaS",Producer,SSFK,Remote,Mainframe,Internal,Internal Use,No,Yes,No,01= 30 Minutes to 2 Hours,WL6E27,SSFK,TECHCCIBT,TECHOPS,TECHOPS,Yes,Asynchronous,0,0,WL6F27,SSFK.9A.ERR.WL6F,Normal,SSFK.WL6F27,Mainframe
SSFK.9A.ERR,Fomalhaut Market Data,Betelgeuse Event Streamer,Betelgeuse Event Streamer,Private IaaS,Consumer,9A,Remote,Private IaaS,Internal,Public,No,No,No,01= 30 Minutes to 2 Hours,WL6F27,9A,TECHRISK,TECHOPS,TECHOPS,Yes,Asynchronous,Enabled,Enabled,WL6F27,SSFK.9A.ERR.WL6F,Normal,SSFK.WL6F27,Private IaaS
EFRX.9ALT.CMD,Capella Audit Logger,Antares Settlement Bus,Capella Audit Logger,Private PaaS,Producer,EFRX,Remote,Private IaaS,Internal,Confidential,Yes,No,No,00= 0-30 Minutes,WRR2D,EFRX,TECHSEC,TECHCT,TECHCT,Yes,Asynchronous,0,0,WL6FX2C,EFRX.9ALT.CMD.WL6F,Normal,EFRX.WL6FX2C,Private IaaS
EFRX.9ALT.CMD,Capella Audit Logger,Antares Settlement Bus,Antares Settlement Bus,Private IaaS,Consumer,9ALT,Remote,Private PaaS,External,Public,Yes,No,No,05= 1 to 3 Days,WL6FX2C,9ALT,TECHCT,TECHCT,TECHCT,Yes,Asynchronous,Enabled,Enabled,WL6FX2C,EFRX.9ALT.CMD.WL6F,Normal,EFRX.WL6FX2C,Private PaaS
8BFK.8BLT.LOG,Jupiter Order Management,Venus Client Onboarding,Jupiter Order Management,Private PaaS,Producer,8BFK,Remote,Private IaaS,External,Public,No,No,No,00= 0-30 Minutes,WSR2C,8BFK,TECHCCIBT,TECHOPS,TECHOPS,No,Synchronous,Enabled,Enabled,WL6ER2A,8BFK.8BLT.LOG.WL6E,0,8BFK.WL6ER2A,Private IaaS
8BFK.8BLT.LOG,Jupiter Order Management,Venus Client Onboarding,Venus Client Onboarding,"Private IaaS, Private PaaS",Consumer,8BLT,Remote,Mainframe,Internal,Confidential,Yes,No,Yes,04= 12 to 24 Hours,WL6ER2A,8BLT,TECHCCIBT,TECHOPS,TECHOPS,No,Synchronous,0,0,WL6ER2A,8BFK.8BLT.LOG.WL6E,0,8BFK.WL6ER2A,Mainframe
9AFK.PPSM.RESP,Procyon API Gateway,Saturn Compliance Monitor,Procyon API Gateway,"Private IaaS, Private PaaS",Producer,9AFK,Remote,Private IaaS,External,Public,Yes,Yes,No,04= 12 to 24 Hours,WL6EX2C,9AFK,TECHSEC,TECHPAY,TECHPAY,Yes,Synchronous,0,Enabled,WL6E30,9AFK.PPSM.RESP.WL6E,0,9AFK.WL6E30,Private IaaS
9AFK.PPSM.RESP,Procyon API Gateway,Saturn Compliance Monitor,Saturn Compliance Monitor,"Private IaaS, Private PaaS",Consumer,PPSM,Remote,Private PaaS,External,Restricted,Yes,No,No,02= 2 Hours to 4 Hours,WL6E30,PPSM,TECHRISK,TECHPAY,TECHPAY,Yes,Synchronous,Enabled,Enabled,WL6E30,9AFK.PPSM.RESP.WL6E,0,9AFK.WL6E30,Private PaaS
9ANP.AB.RQST,Fomalhaut Market Data,OOIKN JIU,Fomalhaut Market Data,Public Cloud,Producer,9ANP,Remote,Private IaaS,Internal,Confidential,No,No,No,01= 30 Minutes to 2 Hours,WL6E27,9ANP,TECHRISK,TECHOPS,TECHOPS,No,Synchronous,0,Enabled,WL6FX2A,9ANP.AB.RQST.WL6F,Normal,9ANP.WL6FX2A,Private IaaS
9ANP.AB.RQST,Fomalhaut Market Data,OOIKN JIU,OOIKN JIU,"Full App Retire, Mainframe",Consumer,AB,Remote,Public Cloud,Internal,Internal Use,Yes,No,Yes,05= 1 to 3 Days,WL6FX2A,AB,TECHCCIBT,TECHOPS,TECHOPS,No,Synchronous,Enabled,0,WL6FX2A,9ANP.AB.RQST.WL6F,0,9ANP.WL6FX2A,Public Cloud
8ANP.CD.CMD,Neptune Risk Analytics,Jupiter Order Management,Neptune Risk Analytics,Mainframe,Producer,8ANP,Remote,Private PaaS,Internal,Confidential,No,Yes,No,01= 30 Minutes to 2 Hours,WL6FX2B,8ANP,TECHCCIBT,TECHOPS,TECHOPS,Yes,Asynchronous,0,0,WL6GX2C,8ANP.CD.CMD.WL6G,0,8ANP.WL6GX2C,Private PaaS
8ANP.CD.CMD,Neptune Risk Analytics,Jupiter Order Management,Jupiter Order Management,Public Cloud,Consumer,CD,Remote,Mainframe,Internal,Restricted,No,Yes,No,02= 2 Hours to 4 Hours,WL6GX2C,CD,TECHFIN,TECHOPS,TECHOPS,Yes,Asynchronous,0,Enabled,WL6GX2C,8ANP.CD.CMD.WL6G,0,8ANP.WL6GX2C,Mainframe
8AFK.QQFK.ALERT,OOIKN JIU,Sirius Notification Hub,OOIKN JIU,Public Cloud,Producer,8AFK,Remote,Mainframe,Internal,Confidential,No,No,No,04= 12 to 24 Hours,WL6FR2D,8AFK,TECHCT,TECHOPS,TECHOPS,Yes,Synchronous,0,0,WRX2B,8AFK.QQFK.ALERT.WRX2,0,8AFK.WRX2B,Mainframe
8AFK.QQFK.ALERT,OOIKN JIU,Sirius Notification Hub,Sirius Notification Hub,"Full App Retire, Mainframe",Consumer,QQFK,Remote,Mainframe,External,Restricted,No,No,No,03= 4:01 to 11:59 Hours,WRX2B,QQFK,TECHCCIBT,TECHOPS,TECHOPS,Yes,Synchronous,0,Enabled,WRX2B,8AFK.QQFK.ALERT.WRX2,0,8AFK.WRX2B,Mainframe
CDNP.PPNP.NTFY,Vega Authentication Service,Pluto Fraud Detection,Vega Authentication Service,Private PaaS,Producer,CDNP,Remote,Public Cloud,Internal,Internal Use,No,No,No,02= 2 Hours to 4 Hours,WRX2B,CDNP,TECHRISK,TECHOPS,TECHOPS,Yes,Asynchronous,Enabled,0,WL6EX2B,CDNP.PPNP.NTFY.WL6E,0,CDNP.WL6EX2B,Public Cloud
CDNP.PPNP.NTFY,Vega Authentication Service,Pluto Fraud Detection,Pluto Fraud Detection,"Full App Retire, Mainframe",Consumer,PPNP,Remote,Public Cloud,Internal,Confidential,No,No,No,02= 2 Hours to 4 Hours,WL6EX2B,PPNP,TECHCT,TECHOPS,TECHOPS,Yes,Asynchronous,0,0,WL6EX2B,CDNP.PPNP.NTFY.WL6E,Normal,CDNP.WL6EX2B,Public Cloud
PPNP.9AFK.RQST,Pluto Fraud Detection,Procyon API Gateway,Pluto Fraud Detection,"Full App Retire, Mainframe",Producer,PPNP,Remote,Public Cloud,Internal,Confidential,No,No,No,02= 2 Hours to 4 Hours,WL6EX2B,PPNP,TECHCT,TECHPAY,TECHPAY,No,Synchronous,Enabled,0,WL6EX2C,PPNP.9AFK.RQST.WL6E,Normal,PPNP.WL6EX2C,Public Cloud
PPNP.9AFK.RQST,Pluto Fraud Detection,Procyon API Gateway,Procyon API Gateway,"Private IaaS, Private PaaS",Consumer,9AFK,Remote,Private IaaS,External,Public,Yes,Yes,No,04= 12 to 24 Hours,WL6EX2C,9AFK,TECHSEC,TECHPAY,TECHPAY,No,Synchronous,0,0,WL6EX2C,PPNP.9AFK.RQST.WL6E,Normal,PPNP.WL6EX2C,Private IaaS
WXNP.WXSM.NTFY,Aldebaran Rate Engine,Capella Audit Logger,Aldebaran Rate Engine,"Private IaaS, Private PaaS",Producer,WXNP,Remote,Private IaaS,External,Confidential,Yes,No,No,04= 12 to 24 Hours,WSX2B,WXNP,TECHCT,TECHCT,TECHCT,Yes,Synchronous,Enabled,Enabled,WS26,WXNP.WXSM.NTFY.WS26,Normal,WXNP.WS26,Private IaaS
WXNP.WXSM.NTFY,Aldebaran Rate Engine,Capella Audit Logger,Capella Audit Logger,Mainframe,Consumer,WXSM,Remote,Private PaaS,External,Public,No,Yes,No,02= 2 Hours to 4 Hours,WS26,WXSM,TECHRISK,TECHCT,TECHCT,Yes,Synchronous,0,0,WS26,WXNP.WXSM.NTFY.WS26,Normal,WXNP.WS26,Private PaaS
8BDV.UVNP.NTFY,Orion Data Warehouse,Rigel Batch Processor,Orion Data Warehouse,Mainframe,Producer,8BDV,Remote,Mainframe,External,Public,No,No,No,05= 1 to 3 Days,WL6FR2D,8BDV,TECHCT,TECHPAY,TECHPAY,Yes,Asynchronous,0,Enabled,WL6GX2C,8BDV.UVNP.NTFY.WL6G,Normal,8BDV.WL6GX2C,Mainframe
8BDV.UVNP.NTFY,Orion Data Warehouse,Rigel Batch Processor,Rigel Batch Processor,Mainframe,Consumer,UVNP,Remote,Public Cloud,Internal,Restricted,No,No,No,04= 12 to 24 Hours,WL6GX2C,UVNP,TECHOPS,TECHPAY,TECHPAY,Yes,Asynchronous,0,Enabled,WL6GX2C,8BDV.UVNP.NTFY.WL6G,0,8BDV.WL6GX2C,Public Cloud
WX.GHRX.STAT,Deneb Message Router,Regulus Position Keeper,Deneb Message Router,Private IaaS,Producer,WX,Remote,Mainframe,Internal,Internal Use,No,No,Yes,01= 30 Minutes to 2 Hours,WQX2C,WX,TECHCCIBT,TECHCORE,TECHCORE,No,Synchronous,0,0,WS29,WX.GHRX.STAT.WS29,0,WX.WS29,Mainframe
WX.GHRX.STAT,Deneb Message Router,Regulus Position Keeper,Regulus Position Keeper,Mainframe,Consumer,GHRX,Remote,Private IaaS,External,Confidential,Yes,No,No,01= 30 Minutes to 2 Hours,WS29,GHRX,TECHOPS,TECHCORE,TECHCORE,No,Synchronous,0,Enabled,WS29,WX.GHRX.STAT.WS29,0,WX.WS29,Private IaaS
ABLT.RRDV.BATCH,Krypton Payment Gateway,Antares Settlement Bus,Krypton Payment Gateway,Private IaaS,Producer,ABLT,Remote,Mainframe,External,Public,No,No,No,04= 12 to 24 Hours,WRX2A,ABLT,TECHOPS,TECHOPS,TECHOPS,Yes,Synchronous,0,Enabled,WS26,ABLT.RRDV.BATCH.WS26,Normal,ABLT.WS26,Mainframe
ABLT.RRDV.BATCH,Krypton Payment Gateway,Antares Settlement Bus,Antares Settlement Bus,"Full App Retire, Mainframe",Consumer,RRDV,Remote,Mainframe,Internal,Restricted,No,No,No,00= 0-30 Minutes,WS26,RRDV,TECHFIN,TECHOPS,TECHOPS,Yes,Synchronous,Enabled,0,WS26,ABLT.RRDV.BATCH.WS26,0,ABLT.WS26,Mainframe
QQNP.9ADV.CTRL,Polaris Config Manager,Regulus Position Keeper,Polaris Config Manager,Private PaaS,Producer,QQNP,Remote,Private IaaS,External,Public,Yes,No,No,01= 30 Minutes to 2 Hours,WL6EX2A,QQNP,TECHOPS,TECHCT,TECHCT,Yes,Asynchronous,Enabled,0,WL6EX2B,QQNP.9ADV.CTRL.WL6E,Normal,QQNP.WL6EX2B,Private IaaS
QQNP.9ADV.CTRL,Polaris Config Manager,Regulus Position Keeper,Regulus Position Keeper,"Private IaaS, Private PaaS",Consumer,9ADV,Remote,Private IaaS,Internal,Public,No,No,Yes,00= 0-30 Minutes,WL6EX2B,9ADV,TECHRISK,TECHCT,TECHCT,Yes,Asynchronous,Enabled,0,WL6EX2B,QQNP.9ADV.CTRL.WL6E,Normal,QQNP.WL6EX2B,Private IaaS
WXDV.CDNP.ERR,Procyon API Gateway,Vega Authentication Service,Procyon API Gateway,"Private IaaS, Private PaaS",Producer,WXDV,Remote,Public Cloud,External,Restricted,No,Yes,No,00= 0-30 Minutes,WRX2D,WXDV,TECHOPS,TECHCT,TECHCT,Yes,Asynchronous,Enabled,0,WRX2B,WXDV.CDNP.ERR.WRX2,0,WXDV.WRX2B,Public Cloud
WXDV.CDNP.ERR,Procyon API Gateway,Vega Authentication Service,Vega Authentication Service,Private PaaS,Consumer,CDNP,Remote,Public Cloud,Internal,Internal Use,No,No,No,02= 2 Hours to 4 Hours,WRX2B,CDNP,TECHRISK,TECHCT,TECHCT,Yes,Asynchronous,0,0,WRX2B,WXDV.CDNP.ERR.WRX2,0,WXDV.WRX2B,Public Cloud
WX.EFNP.CMD,Deneb Message Router,Betelgeuse Event Streamer,Deneb Message Router,Private IaaS,Producer,WX,Remote,Mainframe,Internal,Internal Use,No,No,Yes,01= 30 Minutes to 2 Hours,WQX2C,WX,TECHCCIBT,TECHRISK,TECHRISK,Yes,Asynchronous,0,0,WQR2C,WX.EFNP.CMD.WQR2,Normal,WX.WQR2C,Mainframe
WX.EFNP.CMD,Deneb Message Router,Betelgeuse Event Streamer,Betelgeuse Event Streamer,"Full App Retire, Mainframe",Consumer,EFNP,Remote,Private IaaS,External,Internal Use,No,No,No,05= 1 to 3 Days,WQR2C,EFNP,TECHFIN,TECHRISK,TECHRISK,Yes,Asynchronous,0,0,WQR2C,WX.EFNP.CMD.WQR2,0,WX.WQR2C,Private IaaS
WXRX.8CRX.DAT,Betelgeuse Event Streamer,Polaris Config Manager,Betelgeuse Event Streamer,Mainframe,Producer,WXRX,Remote,Private PaaS,External,Public,No,Yes,No,05= 1 to 3 Days,WRX2A,WXRX,TECHFIN,TECHFIN,TECHFIN,Yes,Synchronous,0,0,WSX2B,WXRX.8CRX.DAT.WSX2,0,WXRX.WSX2B,Private PaaS
WXRX.8CRX.DAT,Betelgeuse Event Streamer,Polaris Config Manager,Polaris Config Manager,"Full App Retire, Mainframe",Consumer,8CRX,Remote,Mainframe,External,Confidential,Yes,No,No,04= 12 to 24 Hours,WSX2B,8CRX,TECHSEC,TECHFIN,TECHFIN,Yes,Synchronous,Enabled,Enabled,WSX2B,WXRX.8CRX.DAT.WSX2,Normal,WXRX.WSX2B,Mainframe
9A.ABFK.DAT,Betelgeuse Event Streamer,PP Arcne VMU,Betelgeuse Event Streamer,Private IaaS,Producer,9A,Remote,Private IaaS,Internal,Public,No,No,No,01= 30 Minutes to 2 Hours,WL6F27,9A,TECHRISK,TECHOPS,TECHOPS,No,Synchronous,0,Enabled,WR29,9A.ABFK.DAT.WR29,Normal,9A.WR29,Private IaaS
9A.ABFK.DAT,Betelgeuse Event Streamer,PP Arcne VMU,PP Arcne VMU,Public Cloud,Consumer,ABFK,Remote,Private IaaS,External,Restricted,No,No,No,03= 4:01 to 11:59 Hours,WR29,ABFK,TECHSEC,TECHOPS,TECHOPS,No,Synchronous,Enabled,0,WR29,9A.ABFK.DAT.WR29,Normal,9A.WR29,Private IaaS
EFDV.CDSM.EVT,Arcturus Cache Service,Venus Client Onboarding,Arcturus Cache Service,Private IaaS,Producer,EFDV,Remote,Private PaaS,Internal,Public,No,No,No,01= 30 Minutes to 2 Hours,WL6EX2A,EFDV,TECHCCIBT,TECHCCIBT,TECHCCIBT,No,Asynchronous,Enabled,0,WL6GX2C,EFDV.CDSM.EVT.WL6G,Normal,EFDV.WL6GX2C,Private PaaS
EFDV.CDSM.EVT,Arcturus Cache Service,Venus Client Onboarding,Venus Client Onboarding,"Full App Retire, Mainframe",Consumer,CDSM,Remote,Mainframe,Internal,Public,No,Yes,No,00= 0-30 Minutes,WL6GX2C,CDSM,TECHRISK,TECHCCIBT,TECHCCIBT,No,Asynchronous,Enabled,Enabled,WL6GX2C,EFDV.CDSM.EVT.WL6G,Normal,EFDV.WL6GX2C,Mainframe
ABNP.8CDV.ALERT,Saturn Compliance Monitor,Capella Audit Logger,Saturn Compliance Monitor,Private PaaS,Producer,ABNP,Remote,Public Cloud,Internal,Internal Use,No,Yes,No,00= 0-30 Minutes,WL6EX2A,ABNP,TECHSEC,TECHCORE,TECHCORE,Yes,Asynchronous,Enabled,0,WL6E26,ABNP.8CDV.ALERT.WL6E,Normal,ABNP.WL6E26,Public Cloud
ABNP.8CDV.ALERT,Saturn Compliance Monitor,Capella Audit Logger,Capella Audit Logger,Private PaaS,Consumer,8CDV,Remote,Mainframe,Internal,Internal Use,Yes,No,Yes,05= 1 to 3 Days,WL6E26,8CDV,TECHCCIBT,TECHCORE,TECHCORE,Yes,Asynchronous,0,0,WL6E26,ABNP.8CDV.ALERT.WL6E,Normal,ABNP.WL6E26,Mainframe
QQNP.SSLT.ERR,Polaris Config Manager,Achernar Limit Monitor,Polaris Config Manager,Private PaaS,Producer,QQNP,Remote,Private IaaS,External,Public,Yes,No,No,01= 30 Minutes to 2 Hours,WL6EX2A,QQNP,TECHOPS,TECHCORE,TECHCORE,No,Asynchronous,Enabled,0,WRX2B,QQNP.SSLT.ERR.WRX2,Normal,QQNP.WRX2B,Private IaaS
QQNP.SSLT.ERR,Polaris Config Manager,Achernar Limit Monitor,Achernar Limit Monitor,"Full App Retire, Mainframe",Consumer,SSLT,Remote,Mainframe,Internal,Public,Yes,No,Yes,02= 2 Hours to 4 Hours,WRX2B,SSLT,TECHSEC,TECHCORE,TECHCORE,No,Asynchronous,0,Enabled,WRX2B,QQNP.SSLT.ERR.WRX2,0,QQNP.WRX2B,Mainframe
8CDV.GHDV.DAT,Capella Audit Logger,Fomalhaut Market Data,Capella Audit Logger,Private PaaS,Producer,8CDV,Remote,Mainframe,Internal,Internal Use,Yes,No,Yes,05= 1 to 3 Days,WL6E26,8CDV,TECHCCIBT,TECHCT,TECHCT,Yes,Asynchronous,Enabled,Enabled,WS29,8CDV.GHDV.DAT.WS29,Normal,8CDV.WS29,Mainframe
8CDV.GHDV.DAT,Capella Audit Logger,Fomalhaut Market Data,Fomalhaut Market Data,Public Cloud,Consumer,GHDV,Remote,Private IaaS,External,Internal Use,No,Yes,No,04= 12 to 24 Hours,WS29,GHDV,TECHOPS,TECHCT,TECHCT,Yes,Asynchronous,Enabled,Enabled,WS29,8CDV.GHDV.DAT.WS29,Normal,8CDV.WS29,Private IaaS
SSNP.PPRX.CTRL,PP Arcne VMU,Mars Portfolio Tracker,PP Arcne VMU,Private IaaS,Producer,SSNP,Remote,Mainframe,External,Restricted,Yes,No,No,05= 1 to 3 Days,WL6EX2A,SSNP,TECHOPS,TECHCCIBT,TECHCCIBT,No,Synchronous,0,Enabled,WR29,SSNP.PPRX.CTRL.WR29,0,SSNP.WR29,Mainframe
SSNP.PPRX.CTRL,PP Arcne VMU,Mars Portfolio Tracker,Mars Portfolio Tracker,Private PaaS,Consumer,PPRX,Remote,Public Cloud,External,Internal Use,No,No,No,00= 0-30 Minutes,WR29,PPRX,TECHFIN,TECHCCIBT,TECHCCIBT,No,Synchronous,0,Enabled,WR29,SSNP.PPRX.CTRL.WR29,Normal,SSNP.WR29,Public Cloud
CD.GHRX.BATCH,Jupiter Order Management,Regulus Position Keeper,Jupiter Order Management,Public Cloud,Producer,CD,Remote,Mainframe,Internal,Restricted,No,Yes,No,02= 2 Hours to 4 Hours,WL6GX2C,CD,TECHFIN,TECHRISK,TECHRISK,No,Asynchronous,0,Enabled,WS29,CD.GHRX.BATCH.WS29,Normal,CD.WS29,Mainframe
CD.GHRX.BATCH,Jupiter Order Management,Regulus Position Keeper,Regulus Position Keeper,Mainframe,Consumer,GHRX,Remote,Private IaaS,External,Confidential,Yes,No,No,01= 30 Minutes to 2 Hours,WS29,GHRX,TECHOPS,TECHRISK,TECHRISK,No,Asynchronous,0,0,WS29,CD.GHRX.BATCH.WS29,Normal,CD.WS29,Private IaaS
